n1	n2	n3	n4	exports	imports	n_suppliers	total_trans_cl	n_clients	total_trans_sp	distance_m_cl	distance_m_sp
A	A01	A011	A0111	713413.024464159	396770.44036195904	82.39616613418531	600100.612731629	2.7822388185417077	45670.53032737191	63405.66200131173	77909.3186153557
A	A01	A011	A0112	1389502.4429473681	416145.71552631556	59.04707985697259	266297.1896066751	2.5726391725696405	57245.454881143996	41955.20359228249	59928.22069033783
A	A01	A011	A0113	291309.4125394046	213240.02297723302	79.90456852791878	324047.72685279243	3.1629434954007882	43037.17733548987	59891.9829165411	63481.519715155904
A	A01	A011	A0114	606155.3682107016	257856.39615384603	73.16456921587609	192014.5516456921	4.8869426751592355	46735.12769389287	46475.335745378376	71214.99532994872
A	A01	A011	A0115	213182.3982550336	641203.9453020134	239.7325581395349	1556191.703372093	1.1261207411835026	19572.694429169132	48357.38150164373	341060.6799049842
A	A01	A011	A0116	113658.16384615385	108342.64446153844	112.0673076923077	263458.4510576923	2.7268722466960353	42453.30797356831	62094.60411925295	80543.08580320094
A	A01	A011	A0119	412831.81177777774	3725660.1003838354	188.62906804733728	1043717.185011094	6.267198872974877	103608.07652500589	47909.50073857399	39339.2141581885
A	A01	A012	A0121	73648.57227533462	11302.921950286805	55.42307692307692	103030.19296703291	2.529457364341085	21790.64471317828	63863.86534567145	54677.472796667695
A	A01	A012	A0122	5516077.056172747	3748881.701938203	122.20621297280874	749029.3013945027	3.9275603507918997	229661.3073943048	46509.318257172985	67655.69922814082
A	A01	A012	A0123	66433.95780051153	17943.79404092071	61.11711711711712	78195.32972972972	2.8957654723127035	28848.66179153096	85203.36601353419	72015.68304601802
A	A01	A012	A0124	27747.382631578952	5630.721754385965	38.888888888888886	42515.93000000001	2.607142857142857	24174.485952380957	65763.41538461538	67932.90456780538
A	A01	A012	A0125	24383.694718614708	1780.9571428571433	39.8	28655.757499999996	2.7268041237113403	12021.956374570445	28419.985429630215	89448.80039551004
A	A01	A012	A0126	2657211.532793913	1321988.9093222683	108.35364208633094	283127.2651910978	2.4761330480451273	60294.98653394309	115520.09168391443	80506.63797376025
A	A01	A012	A0127	491587.22966386593	203156.2408920491	76.0194489465154	348718.38012155594	2.674863855039195	26103.187739627338	58001.67625950714	53464.42599237446
A	A01	A012	A0128	33602.23479087452	10318.736387832701	53.02985074626866	57732.836417910454	2.146173149309912	13733.24439774154	65423.99395858084	77439.8699482217
A	A01	A012	A0129	434329.7405777783	217113.38317777772	98.26086956521739	235963.76574241152	3.3898283371765308	65083.17108378167	72726.42361998618	77382.41322982898
A	A01	A013	A0130	72859.45421615192	132118.0153206651	126.84615384615384	404903.78415954404	5.461838006230529	22640.867219626107	59742.883535193345	67365.88895075528
A	A01	A014	A0141	684972.8303389061	239277.92022141887	75.97833300800312	161309.07160843286	2.3644125626217067	35155.43899821893	66470.40866008753	54327.071571428685
A	A01	A014	A0142	13798.452765957447	41099.79127659574	30.2	55381.09618181818	10.58904109589041	52517.57082191782	14026.154765240428	29067.88029749495
A	A01	A014	A0143	9469.1895	49562.73850000001	66.3076923076923	101127.87538461537	3.55	15571.9955	43947.322585792615	28902.797900665642
A	A01	A014	A0144	59502.18647321429	21425.28888392857	54.57142857142857	106915.05482142858	2.368705035971223	31127.811258992824	54428.241895637606	46110.1887012987
A	A01	A014	A0145	59094.11632838282	77904.77621287128	72.34527687296416	401963.4881758956	3.2068818123530667	21036.552496259847	80172.44234061327	95572.07313646156
A	A01	A014	A0146	5993042.723807071	4668137.171009648	114.61326442721791	2656691.206408268	9.59779395042074	1256454.5420718642	76682.39006194694	73039.17184912725
A	A01	A014	A0149	52838.29117056856	33908.58128762543	57.105932203389834	130582.08182203397	4.099132023755139	21386.042064869805	46353.590738657054	54977.410085746575
A	A01	A015	A0150	641465.182743779	1385494.761378615	89.63015075376885	902467.3803819056	7.303023516237402	171404.25398880182	43780.85381618659	86641.2186983812
A	A01	A016	A0161	242689.8493133583	131610.7782272159	94.30386740331491	430666.91390423576	8.118321979204016	111565.94906776618	42248.37249156278	64844.48868167189
A	A01	A016	A0162	139728.1963386396	6498.454746743849	70.48529411764706	65611.07808823528	2.2806859205776173	26854.78529241877	45661.58253281924	55696.38188280676
A	A01	A016	A0163	919772.5514954267	948580.0774448623	88.60336842105264	704042.7105452657	4.657956989247312	114594.07917204303	38110.92950232312	50249.24207423763
A	A01	A016	A0164	175965.31279503106	21506.544720496895	49.21153846153846	153861.5861538462	3.31359649122807	79981.28824561396	64842.697423625556	89392.4869215536
A	A01	A017	A0170	430695.3419047619	159539.44476190474	82.63636363636364	469888.97363636346	2.238095238095238	160979.37936507934	3009.6652757020415	54266.47045454546
A	A02	A021	A0210	74827.25092032968	80865.77157967033	72.1005291005291	190613.95582010588	3.3448979591836734	52887.39518367348	50361.81128046633	81945.26900245198
A	A02	A022	A0220	109759.03141274248	128607.37398891966	133.07971014492753	819879.985362319	2.499227202472952	138390.67909582672	42494.886323485836	80427.86075522426
A	A02	A023	A0230	2247.7	0.0			2.4444444444444446	2424.14		
A	A02	A024	A0240	71832.25387351775	150118.7942819499	82.32453416149069	349765.7685093167	4.764705882352941	47210.216484162935	33910.584346711286	53734.504330311516
A	A03	A031	A0311	5303334.03579646	3990308.4091371703	158.42050750906267	2927775.0082030036	3.8117260550922416	669528.2558188031	40236.17133236997	49735.798375961385
A	A03	A031	A0312	316630.3553448278	522090.55706896516	88.4980079681275	1190341.342908367	5.01670146137787	208971.5267223385	50979.14665828269	70730.96627359417
A	A03	A032	A0321	8102903.760147708	11426908.064180203	134.88578160213072	1171452.1511616486	7.43880095089001	468830.77556038724	70649.84965201981	79337.1643045093
A	A03	A032	A0322	344828.57698752225	165755.03609625663	79.2409381663113	381695.5704477607	3.104151667866571	71742.35086393089	38034.24115777146	42263.513830778196
B	B05	B051	B0510	90820.74363636365	46551.90409090909	173.0	348864.05692307686	11.76595744680851	78152.17723404254	37780.70618978573	5826.46781080373
B	B05	B051	B0512	1009.4	0.0			1.0	1009.4		
B	B05	B051	B0513	89427.6575438596	44060.55631578947	118.13636363636364	162440.83772727274	17.356164383561644	129567.18041095888	32996.92747490163	102808.07424244926
B	B05	B052	B0520	307290.12125	201298.395	33.0	402821.2499999999	6.5	307909.37875000003	6247.607142857143	143410.7587797619
B	B06	B061	B0610	709791.8588043479	20938296.143695656	172.59963436928703	48340245.109634385	5.697394789579159	24011280.191743463	85145.38109867155	26261.933767640185
B	B06	B062	B0620	344882.0492307693	1682910.1561538463	81.76119402985074	26025453.65880597	14.363636363636363	40955386.31878787	80139.2375812433	58866.831173918676
B	B07	B071	B0710	685332.7564556963	286894.7446835443	199.864406779661	885792.9684745761	24.225806451612904	801818.7407526881	19301.637492162434	192358.68613787286
B	B07	B072	B0721	112251.59445783135	86219.7577108434	114.62820512820512	196659.58487179482	5.461538461538462	167786.5422222222	66652.80912538493	55736.47398042991
B	B07	B072	B0722	36039.21333333333	649036.4500000001	481.6666666666667	1439438.9933333348	5.2	24777.219	64499.122468379086	51501.52380952381
B	B07	B072	B0729	488957.66415917804	1215114.8769062897	61.179655172413796	424990.75099655084	4.0728842004315515	124683.45275713259	99320.45876256333	88835.6489601662
B	B08	B081	B0810	607473.2329622062	403607.28788559727	98.94609814963798	487803.117683025	12.04954331580404	253886.73090506482	48147.59379402921	79935.30686693381
B	B08	B089	B0891	103761.98663934425	84499.37278688526	66.02586206896552	216180.34439655172	5.089171974522293	126587.55535031852	123521.92355049071	90158.10946694447
B	B08	B089	B0893	470628.5515873017	154703.44539682538	169.98275862068965	332227.290862069	23.867088607594937	228558.25234177217	70872.157410529	101525.32649936336
B	B08	B089	B0899	82826.05973451327	57581.28017699116	35.92307692307692	83906.56461538463	6.658914728682171	108322.06465116271	62803.09951120441	143022.4727340811
B	B09	B091	B0910	1636965.0280519482	4254142.077186148	185.7557364914878	3907824.4369578063	6.889014722536806	4122379.913450364	101332.44432874917	56082.31076941357
B	B09	B099	B0990	54111.80384	187053.73719999997	127.27777777777777	346570.9564444445	15.952380952380953	80906.43892857144	98113.97776368812	127497.74306263197
C	C10	C101	C1010	1310693.1375529664	1352712.9202542375	141.06436041834272	1799384.5658648426	20.75959488272921	532529.4178198306	55369.90219474506	57758.18823810654
C	C10	C102	C1020	7949539.375340908	23216306.639602277	276.881679389313	10353942.10639314	12.465958775765147	2017286.2185946258	67219.14385542423	73200.41725895867
C	C10	C103	C1030	550133.5403356885	1402242.0183392225	207.63702359346644	1918035.3631397453	12.052907915993538	176151.06358239063	44009.03468235116	62496.024134008665
